Alabama,AL,"52,419.02"
Alaska,AK,"663,267.26"
Arizona,AZ,"113,998.30"
Arkansas,AR,"53,178.62"
California,CA,"163,695.57"
Colorado,CO,"104,093.57"
Connecticut,CT,"5,543.33"
District of Columbia,DC,"572,059.00"
Delaware,DE,68.34
Florida,FL,"65,754.59"
Georgia,GA,"59,424.77"
Hawaii,HI,"10,930.98"
Idaho,ID,"83,570.08"
Illinois,IL,"57,914.38"
Indiana,IN,"36,417.73"
Iowa,IA,"56,271.55"
Kansas,KS,"82,276.84"
Kentucky,KY,"40,409.02"
Louisiana,LA,"51,839.70"
Maine,ME,"35,384.65"
Maryland,MD,"12,406.68"
Massachusetts,MA,"10,554.57"
Michigan,MI,"96,716.11"
Minnesota,MN,"86,938.87"
Mississippi,MS,"48,430.19"
Missouri,MO,"69,704.31"
Montana,MT,"147,042.40"
Nebraska,NE,"77,353.73"
Nevada,NV,"110,560.71"
New Hampshire,NH,"9,349.94"
New Jersey,NJ,"8,721.30"
New Mexico,NM,"121,589.48"
New York,NY,"54,556.00"
North Carolina,NC,"53,818.51"
North Dakota,ND,"70,699.79"
Ohio,OH,"44,824.90"
Oklahoma,OK,"69,898.19"
Oregon,OR,"98,380.64"
Pennsylvania,PA,"46,055.24"
Rhode Island,RI,"1,545.05"
South Carolina,SC,"32,020.20"
South Dakota,SD,"77,116.49"
Tennessee,TN,"42,143.27"
Texas,TX,"268,580.82"
Utah,UT,"84,898.83"
Vermont,VT,"9,614.26"
Virginia,VA,"42,774.20"
Washington,WA,"71,299.64"
West Virginia,WV,"24,229.76"
Wisconsin,WI,"65,497.82"
Wyoming,WY,"97,813.56"